id,locationCode,latitude,longitude,floor,areaId,name,isValidDestination,isAccessible,locationCategoryId
2961,87H52H53+266,41.007542198829100,-76.44698626052650,3,7,339,1,1,4
2962,87H52H53+266,41.007546769399500,-76.44697542386530,3,7,340,1,1,4
2963,87H52H53+25X,41.00760106452840,-76.44701681409750,3,7,341,1,1,4
2964,87H52H53+25P,41.00759388382360,-76.44703182833330,3,7,342,1,1,4
2965,87H52H53+25W,41.0076242085207,-76.44705655110540,3,7,343,1,1,4
2966,87H52H53+354,41.0076308682112,-76.44704107719230,3,7,344,1,1,4
2967,87H52H53+355,41.00764901883970,-76.44700241229300,3,7,345,1,1,4
2968,87H52H53+364,41.00763085769880,-76.44693168170980,3,7,346,1,1,4
2969,87H52H53+365,41.00764718271430,-76.44690387723120,3,7,347,1,1,4
2970,87H52H53+369,41.00765537146860,-76.44688067254070,3,7,348,1,1,4
2971,87H52H53+37P,41.007713180092800,-76.44680279259830,3,7,349,1,1,4
2972,87H52H53+38C,41.007698331503900,-76.4467282126222,3,7,350,1,1,4
2973,87H52H53+38G,41.007683915577600,-76.44667963403520,3,7,354,1,1,4
2974,87H52H53+38Q,41.007703945003200,-76.44663463960690,3,7,355,1,1,4
2975,87H52H53+39J,41.00771007315690,-76.4466218086721,3,7,356,1,1,4
2976,87H52H53+396,41.0076713706942,-76.44660808562680,3,7,358,1,1,4
2977,87H52H53+396,41.00766530905600,-76.44662167408950,3,7,359,1,1,4
2978,87H52H53+384,41.00763777457240,-76.44668278455680,3,7,360,1,1,4
2979,87H52H53+383,41.00763026740680,-76.44669631937750,3,7,361,1,1,4
2980,87H52H53+27X,41.007601487633100,-76.44675766276250,3,7,362,1,1,4
2981,87H52H53+27Q,41.0075956914119,-76.44677020659190,3,7,363,1,1,4
2982,87H52H53+27W,41.00762335951800,-76.44680733437060,3,7,365,1,1,4
2983,87H52H53+374,41.00762830654650,-76.4467966143422,3,7,366,1,1,4
2984,87H52H53+254,41.00752345886160,-76.44705246912690,3,7,367,1,1,3
2985,87H52H53+36Q,41.00770871604280,-76.44688383911790,3,7,369,1,1,4
2986,87H52H53+36G,41.00768986461590,-76.44691619290330,3,7,370,1,1,4
2987,87H52H53+36M,41.00771742469240,-76.4469453327257,3,7,371,1,1,4
2988,87H52H53+36V,41.007732513879700,-76.44696171231780,3,7,372,1,1,4
2989,87H52H53+36R,41.007739465151000,-76.44699675092530,3,7,373,1,1,4
2990,87H52H53+36C,41.0076829336686,-76.44699159812160,3,7,374,1,1,4
